,geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,Channel4_impression,Channel5_impression,Competitor_Discount,GQV,Geo_GDP,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,Channel4_spend,Channel5_spend,conversions,revenue_per_conversion,population,geo_tier,Channel4_reach,Channel5_reach,Channel4_frequency,Channel5_frequency
0,Geo0,2021-01-25,0.0,0.0,0.0,549315.0,283116.0,0.0,0.8260731,-1.1286073,-1.6954446,0.0,0.0,0.0,4264.9795,2305.556,0.0,9108830.0,0.020016301,574674.6,2,228583.0,0.0,1.2385699,0.0
1,Geo0,2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.0034146,-2.3161445,0.109140724,0.0,0.0,0.0,0.0,0.0,0.0,8093423.0,0.020054065,574674.6,2,0.0,0.0,0.0,0.0
2,Geo0,2021-02-08,547840.0,242085.0,1003156.0,436785.0,0.0,75885.0,1.7974973,-0.359717,-1.6014922,4701.699,2400.4517,8756.294,3391.2766,0.0,594.79785,11142771.0,0.02000194,574674.6,2,0.0,65079.0,0.0,1.1660444
3,Geo0,2021-02-15,0.0,0.0,197580.0,414793.0,172504.0,0.0,-0.23209679,-0.7307286,-0.39232057,0.0,0.0,1724.6257,3220.5269,1404.7869,0.0,7338163.5,0.019939508,574674.6,2,167068.0,0.0,1.0325377,0.0
4,Geo0,2021-02-22,832513.0,0.0,0.0,0.0,426307.0,0.0,-1.2693962,0.22998106,0.7655015,7144.8335,0.0,0.0,0.0,3471.6326,0.0,7930677.5,0.01999655,574674.6,2,199890.0,0.0,2.132708,0.0
5,Geo0,2021-03-01,190624.0,0.0,0.0,416576.0,0.0,0.0,1.040812,-1.8822868,-0.49450666,1635.9827,0.0,0.0,3234.3704,0.0,0.0,9297966.0,0.019850625,574674.6,2,0.0,0.0,0.0,0.0
6,Geo0,2021-03-08,621075.0,313718.0,550788.0,597954.0,0.0,0.0,-0.7962985,1.2054719,-0.2756259,5330.22,3110.7458,4807.689,4642.6216,0.0,0.0,9491084.0,0.020114673,574674.6,2,0.0,0.0,0.0,0.0
7,Geo0,2021-03-15,238661.0,123921.0,929512.0,652476.0,111343.0,0.0,-1.4489763,0.716259,-0.34547594,2048.248,1228.7683,8113.4746,5065.94,906.72205,0.0,8672365.0,0.019963093,574674.6,2,108132.0,0.0,1.0296952,0.0
8,Geo0,2021-03-22,0.0,507308.0,207820.0,465605.0,733559.0,0.0,-1.1659458,0.5154947,-0.067177415,0.0,5030.334,1814.0082,3615.0403,5973.74,0.0,8461247.0,0.019783301,574674.6,2,414684.0,0.0,1.768959,0.0
9,Geo0,2021-03-29,412869.0,0.0,0.0,0.0,1126428.0,324270.0,1.4079542,-1.3742882,-0.44921273,3543.3445,0.0,0.0,0.0,9173.07,2541.6763,9384594.0,0.020054962,574674.6,2,398116.0,281484.0,2.8293965,1.1520015
10,Geo0,2021-04-05,0.0,0.0,0.0,0.0,0.0,207438.0,-3.7742615,1.217242,-0.59725344,0.0,0.0,0.0,0.0,0.0,1625.9298,4595158.5,0.019982733,574674.6,2,0.0,194391.0,0.0,1.0671173
11,Geo0,2021-04-12,0.0,0.0,1230193.0,438683.0,1015377.0,153998.0,-0.41227978,1.6030077,-0.660123,0.0,0.0,10738.043,3406.013,8268.726,1207.0591,10408691.0,0.020024648,574674.6,2,449565.0,120726.0,2.2585766,1.2755992
12,Geo0,2021-04-19,285297.0,869587.0,1663611.0,1499411.0,976802.0,2034862.0,0.17125058,1.5508225,0.95368576,2448.4897,8622.598,14521.239,11641.694,7954.59,15949.55,12033766.0,0.020060426,574674.6,2,499287.0,541483.0,1.9563938,3.7579424
13,Geo0,2021-04-26,0.0,0.0,1316216.0,465824.0,0.0,172658.0,-1.8061918,2.1476686,-1.2102027,0.0,0.0,11488.916,3616.7405,0.0,1353.319,6631036.0,0.020043947,574674.6,2,0.0,149490.0,0.0,1.1549803
